Subsite,ICD-O-3,Site,Group,Macrogrouping
"C21.0 Anus, NOS, C21.1 Anal canal, C21.2 Cloacogenic zone, C21.8 Overlapping lesion of rectum, anus and anal canal",C21.0-21.8,Anus and anal canal,Abdomen,Soft tissue
,,,,
"C22.0 Liver, C22.1 Intrahepatic bile duct",C22.0-C22.1,Liver,Abdomen,Soft tissue
Gallbladder,C23.9,Gallbladder,Abdomen,Soft tissue
"C24.0 Extrahepatic bile duct, C24.1 Ampulla of Vater, C24.8 Overlapping lesion of biliary tract, C24.9 Biliary tract, NOS",C24.0-C24.9,Other and unspecified parts of biliary tract,Abdomen,Soft tissue
"C25.0 Head of pancreas, C25.1 Body of pancreas, C25.2 Tail of pancreas, C25.3 Pancreatic duct, C25.4 Islets of Langerhans, C25.7 Other specified parts of pancreas, C25.8 Overlapping lesion of pancreas, C25.9 Pancreas, NOS",C25.0-C25.9,Pancreas,Abdomen,Soft tissue
Retroperitoneum,C48.0,,Retroperitoneum,Soft tissue
Inferior vena cava,C49.4,,Retroperitoneum,Soft tissue
Aorta,C49.4,,Retroperitoneum,Soft tissue
Iliac vessels,C49.5,,Retroperitoneum,Soft tissue
Renal vessels,C49.4,,Retroperitoneum,Soft tissue
Mesenteric vessels,C49.4,,Retroperitoneum,Soft tissue
Mesentery,C48.1,,Retroperitoneum,Soft tissue
Peritoneum,C48.1,,Peritoneum,Soft tissue
Mesoappendix,C48.1,,Peritoneum,Soft tissue
Mesocolon,C48.1,,Peritoneum,Soft tissue
Omentum,C48.1,,Peritoneum,Soft tissue
Pelvic peritoneum,C48.1,,Peritoneum,Soft tissue
Rectouterine pouch,C48.1,,Peritoneum,Soft tissue
Pelvis,C49.4,,Pelvis,Soft tissue
Perineum,C49.5,,Pelvis,Soft tissue
"C50.0 Nipple, C50.1 Central portion of breast, C50.2 Upper-inner quadrant of breast, C50.3 Lower-inner quadrant of breast, C50.4 Upper-outer quadrant of breast, C50.5 Lower-outer quadrant of breast, C50.6 Axillary tail of breast, C50.8 Overlapping lesion of breast, C50.9 Breast, NOS",C50.0-C50.9,,Breast,Breast
"C51.0 Labium majus, C51.1 Labium minus, C51.2 Clitoris, C51.8 Overlapping lesion of vulva, C51.9 Vulva, NOS",C51.0-C51.9,Vulva,Genitourinary (female),Female genital tumor
Vagina,C52.9,Vagina,Genitourinary (female),Female genital tumor
"C53 CERVIX UTERI (C53.0 Endocervix, C53.1 Exocervix, C53.8 Overlapping lesion of cervix uteri, C53.9 Cervix uteri), C54 CORPUS UTERI (C54.0 Isthmus uteri, C54.1 Endometrium, C54.2 Myometrium, C54.3 Fundus uteri, C54.8 Overlapping lesion of corpus uteri, C54.9 Corpus uteri), C55 UTERUS, NOS (C55.9 Uterus, NOS)",C53-C54-C55,Uterus,Genitourinary (female),Female genital tumor
Ovary,C56.9,Ovary,Genitourinary (female),Female genital tumor
"C57.0 Fallopian tube, C57.1 Broad ligament, C57.2 Round ligament, C57.3 Parametrium, C57.4 Uterine adnexa, C57.7 Other specified parts of female genital organs, C57.8 Overlapping lesion of female genital organs, C57.9 Female genital tract, NOS",C57.0-C57.9,Other and unspecified female genital organs,Genitourinary (female),Female genital tumor
"C60.0 Prepuce, C60.1 Glans penis, C60.2 Body of penis, C60.8 Overlapping lesion of penis, C60.9 Penis, NOS",C60.0-C60.9,Penis,Genitourinary (male),Urinary and male genital tumor
Prostate gland,C61.9,Prostate gland,Genitourinary (male),Urinary and male genital tumor
"C62.0 Undescended testis, C62.1 Descended testis, C62.9 Testis, NOS",C62.0-C62.9,Testis,Genitourinary (male),Urinary and male genital tumor
Spermatic Cord,C63.1,Spermatic Cord,Genitourinary (male),Urinary and male genital tumor
Seminal Vescicle,C63.7,Seminal Vescicle,Genitourinary (male),Urinary and male genital tumor
