N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
83,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/3,8851/3,"Liposarcoma, well-differentiated, NOS",Si,Malignant
84,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/3,8851/3,"Liposarcoma, well differentiated",Si,Malignant
85,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/3,8851/3,Lipoma-like liposarcoma,Si,Malignant
86,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/3,8851/3,Inflammatory liposarcoma,Si,Malignant
87,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/3,8851/3,Sclerosing liposarcoma,Si,Malignant
88,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/1,8851/1,Lipofibromatosis,Si,Borderline
,Myxoid liposarcoma (8852-8853),Myxoid liposarcoma (8852),/0,8852/0,Fibromyxolipoma,,
89,Myxoid liposarcoma (8852-8853),Myxoid liposarcoma (8852),/3,8852/3,Myxoid liposarcoma,Si,Malignant
,Myxoid liposarcoma (8852-8853),Round cell liposarcoma (8853),/3,8853/3,Round cell liposarcoma,,
90,Pleomorphic liposarcoma (8854),Pleomorphic liposarcoma (8854),/3,8854/3,Pleomorphic liposarcoma,Si,Malignant
91,,,,,Epithelioid liposarcoma,Si,Malignant
92,,,,,Postoperative spindle cell nodule,No,
93,,,,,Fibroepithelial stromal polyp,No,
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Mixed liposarcoma (8855) ,/3,8855/3,Mixed liposarcoma,,
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Fibroblastic liposarcoma (8857),/0,8857/0,Spindle cell lipoma,Si,Benigno
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Fibroblastic liposarcoma (8857),/0,8857/0,Spindle cell / pleomorphic lipoma,Si,Benigno
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Fibroblastic liposarcoma (8857),,,"    Intracranial mesenchymal tumour, FET::CREB fusion–positive (provisional entity)",Si,Boh!
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Fibroblastic liposarcoma (8857),/0,8857/0,Atypical spindle cell / pleomorphic lipomatous tumour,Si,Benigno
